Name,Location,RSVP,Past_Attendance,Attended,Distance
Zohra Das,"Tunis, Tunisia",No,Yes,Yes,6912.56
Ramesh Iyer,Deoria,No,Yes,Yes,1761.7
Faisal Goswami,"Waterloo, Canada",Yes,Yes,Yes,13281.33
Dipti Chauhan,"Minneapolis, USA",Yes,No,Yes,13482.98
Dipti Chauhan,Bhubaneswar,Yes,Yes,Yes,1425.5
Omkar Prasad,Korba,No,No,Yes,1344.98
Parul Khan,Bhubaneswar,Yes,No,Yes,1425.5
Meera Reddy,Barmer,Yes,Yes,Yes,1453.91
Bhavya Nair,"Denver, USA",Yes,No,Yes,14175.12
Isha Goswami,"Rome, Italy",Yes,No,Yes,6781.0
Eklavya Aggarwal,Navsari,Yes,No,Yes,912.85
Ramesh Iyer,Vadodara,No,Yes,Yes,1053.34
Hina Reddy,Hardoi,No,No,Yes,1687.62
Zara Nair,"Bucharest, Romania",Yes,No,Yes,5785.14
Chirag Mehta,Jaipur,Yes,Yes,Yes,1553.31
Ishita Nair,Kullu,No,No,Yes,2121.51
Tarun Shetty,Bhavnagar,No,Yes,Yes,1021.8
Ekta Thakur,Mandsaur,No,Yes,Yes,1257.43
Imran Aggarwal,Jamshedpur,Yes,No,Yes,1624.45
Bhaskar Kapoor,"Madrid, Spain",No,Yes,Yes,8127.57
Oma Nair,Basti,No,No,Yes,1737.41
Faisal Goswami,"Seoul, South Korea",No,No,Yes,5826.0
Juhi Deshmukh,Solan,No,Yes,Yes,7675.21
Utkarsh Mishra,Mussoorie,Yes,Yes,Yes,1970.64
Yasmin Iyer,Ujjain,Yes,Yes,Yes,1141.32
Raghav Rao,Varanasi,No,Yes,Yes,1619.33
Omkar Bhatt,"Alexandria, Egypt",No,Yes,Yes,5019.65
Tarun Shetty,Baramulla,No,Yes,Yes,2359.17
Govind Sinha,"Lima, Peru",No,Yes,Yes,16980.51
Brijesh Mishra,"Prague, Czech Republic",Yes,Yes,Yes,6817.29
Uma Das,"Dublin, Ireland",No,No,Yes,8277.42
Pranav Shetty,"Krakow, Poland",No,No,Yes,6441.84
Saurabh Naidu,"Copenhagen, Denmark",No,No,Yes,7105.24
Eklavya Chauhan,"Kampala, Uganda",No,No,Yes,4867.14
Darshan Desai,Hyderabad,Yes,Yes,Yes,627.06
Gaurav Verma,Bhiwadi,Yes,Yes,Yes,1705.29
Girish Menon,"Vilnius, Lithuania",Yes,No,Yes,6312.78
Onkar Nair,"Canberra, Australia",Yes,No,Yes,9448.21
Devansh Goswami,"Copenhagen, Denmark",Yes,Yes,Yes,7105.24
Yash Das,Nashik,Yes,Yes,Yes,793.59
Tanmay Chauhan,Hisar,Yes,Yes,Yes,1810.36
Kavita Bhatt,Anantapur,No,No,Yes,342.91
Lavanya Bhatt,"Geneva, Switzerland",Yes,Yes,Yes,7347.1
Kamal Jha,"Perth, Australia",Yes,No,Yes,6614.61
Jaidev Khan,"Manchester, UK",No,Yes,Yes,8010.68
Sandeep Prasad,Jammu,Yes,No,Yes,2193.33
Uday Sharma,"Guangzhou, China",No,No,Yes,4206.65
Leela Deshmukh,Amritsar,No,Yes,Yes,2073.25
Tanmay Mehta,"San Francisco, USA",Yes,Yes,Yes,14112.29
Uday Kapoor,Dehradun,No,No,Yes,1955.72
Samar Iyer,"Paris, France",No,Yes,Yes,7661.31
Urvashi Naidu,"Quebec City, Canada",Yes,No,Yes,12579.03
Farida Aggarwal,"Adelaide, Australia",No,Yes,Yes,8549.82
Lalit Rao,Navsari,Yes,No,Yes,912.85
Yuvraj Chauhan,"Munich, Germany",Yes,Yes,Yes,6973.19
Zeeshan Shetty,"Medellín, Colombia",No,Yes,Yes,16131.4
Anirudh Chauhan,Vijayawada,Yes,Yes,Yes,736.92
Saurabh Naidu,"Calgary, Canada",No,No,Yes,12866.2
Prerna Mehta,Goa (general),No,Yes,Yes,303.36
Charu Aggarwal,Rewa,Yes,Yes,Yes,1479.49
Nikhil Verma,Moradabad,Yes,Yes,Yes,1814.51
Jaya Jha,Bilaspur,No,Yes,Yes,1282.13
Bhavna Thakur,Katni,No,Yes,Yes,1324.82
Deepika Goswami,"Lima, Peru",No,No,Yes,16980.51
Kiran Reddy,Agartala,Yes,Yes,Yes,2111.76
Eklavya Chauhan,"Edinburgh, UK",No,No,Yes,8083.0
Chandan Aggarwal,"Cambridge, UK",Yes,No,Yes,7843.87
Oorja Rao,"Johannesburg, South Africa",No,Yes,Yes,6663.02
Rashmi Verma,"Christchurch, New Zealand",Yes,Yes,Yes,11612.59
Farzana Sinha,"Melbourne, Australia",Yes,Yes,Yes,9201.73
Bhavna Thakur,"Chiang Mai, Thailand",Yes,Yes,Yes,2662.35
Harish Chauhan,Gangtok,No,No,Yes,2144.63
Ekta Chauhan,"Jeddah, Saudi Arabia",No,No,Yes,3903.48
Harish Sharma,Singapore,No,No,Yes,3439.48
Vivek Rao,"Rosario, Argentina",No,Yes,Yes,15001.25
Tanmay Mehta,Hamirpur,No,Yes,Yes,1519.71
Meera Khan,"Zurich, Switzerland",Yes,Yes,Yes,7182.56
Aarav Patel,Warangal,No,Yes,Yes,757.08
Bhavya Nair,"Auckland, New Zealand",Yes,No,Yes,11738.38
Yash Thakur,Srinagar,Yes,No,Yes,2343.75
Vidya Iyer,Beawar,No,No,Yes,1460.73
Rohan Sharma,Deoria,No,No,Yes,1761.7
Lokesh Gupta,Nainital,Yes,No,Yes,1885.39
Vivek Rao,Bharatpur,No,No,Yes,1582.68
Isha Goswami,Allahabad (Prayagraj),No,No,Yes,1567.71
Kamal Jha,Bhilwara,Yes,Yes,Yes,1393.12
Nitin Reddy,Jorhat,Yes,Yes,Yes,2534.96
Fardeen Kapoor,"Nagoya, Japan",Yes,No,Yes,6661.39
Bhavna Thakur,"Portland, USA",Yes,No,Yes,13298.63
Rashmi Verma,Kharagpur,No,Yes,Yes,1681.57
Ramesh Iyer,Vapi,No,No,Yes,851.21
Sonia Rao,Ajmer,No,Yes,Yes,1500.77
Raghav Nair,"Cork, Ireland",No,No,Yes,8432.6
Jatin Iyer,"Dubai, UAE",No,Yes,Yes,2464.59
Hina Aggarwal,Hamirpur,No,Yes,Yes,1519.71
Yamini Shetty,Jhansi,No,No,Yes,1452.18
Vihan Gupta,Hardoi,No,Yes,Yes,1687.62
Uttam Verma,"Cork, Ireland",No,Yes,Yes,8432.6
Lavanya Bhatt,Panaji,No,No,Yes,306.75
Chandan Aggarwal,"Guangzhou, China",No,Yes,Yes,4206.65
Indu Bhatt,"Abuja, Nigeria",Yes,No,Yes,7355.58
Vidya Iyer,Hubli,Yes,No,Yes,271.43
Advik Gupta,Aurangabad,Yes,No,Yes,1655.52
Tanvi Verma,Nagpur,Yes,No,Yes,1016.24
Jaya Mehta,Kharagpur,Yes,Yes,Yes,1681.57
Chitra Kapoor,Rajkot,No,Yes,Yes,1124.66
Tanvi Mishra,"Penang, Malaysia",Yes,Yes,Yes,2909.93
Nisha Verma,"Cebu, Philippines",No,Yes,Yes,5338.59
Sonia Rao,"Córdoba, Argentina",No,No,Yes,15368.2
Eshwar Shetty,"Toronto, Canada",Yes,No,Yes,13219.41
Girish Mehta,Hoshangabad,No,Yes,Yes,1129.28
Jaya Mehta,Ajmer,Yes,No,Yes,1500.77
Rohan Sharma,Dharwad,No,Yes,Yes,273.45
Trisha Iyer,Patna,Yes,No,Yes,1770.09
Damini Sinha,Moradabad,Yes,No,Yes,1814.51
Rashmi Gupta,Unnao,No,No,Yes,1627.01
Pooja Sharma,Bahraich,Yes,No,Yes,1779.44
Farhan Khan,"Toronto, Canada",Yes,Yes,Yes,13219.41
Chandan Aggarwal,Ratlam,Yes,Yes,Yes,1172.0
Farah Kapoor,Hisar,Yes,Yes,Yes,1810.36
Kartik Verma,"Phoenix, USA",No,Yes,Yes,14821.35
Harish Chauhan,Chhindwara,Yes,No,Yes,1110.22
Uday Kapoor,"Marseille, France",Yes,Yes,Yes,7378.63
Chhavi Nair,Allahabad (Prayagraj),No,No,Yes,1567.71
Govind Sinha,"Bogotá, Colombia",Yes,No,Yes,16082.83
Tejas Yadav,"Kaohsiung, Taiwan",Yes,No,Yes,4918.91
Yashwant Iyer,Katni,Yes,No,Yes,1324.82
Farhan Khan,"Chiang Mai, Thailand",Yes,No,Yes,2662.35
Nisha Verma,"Sydney, Australia",No,Yes,Yes,9580.09
Mitali Mehta,Hong Kong,Yes,Yes,Yes,4288.73
Rashmi Gupta,"Sofia, Bulgaria",No,Yes,Yes,5931.9
Oindrila Gupta,"Miami, USA",Yes,No,Yes,14950.04
Ishaan Rao,Chaibasa,Yes,Yes,Yes,1576.24
Barkha Shetty,"Taipei, Taiwan",Yes,Yes,Yes,5071.48
Aarushi Shetty,"Lisbon, Portugal",No,Yes,Yes,8608.42
Tanmay Chauhan,"Denver, USA",Yes,No,Yes,14175.12
Chandan Aggarwal,Chandigarh,No,Yes,Yes,1983.09
Tarun Shetty,"Belo Horizonte, Brazil",No,Yes,Yes,13483.85
Simran Gupta,"Cape Town, South Africa",Yes,Yes,Yes,7906.46
Eklavya Chauhan,"Lima, Peru",Yes,No,Yes,16980.51
Faisal Goswami,Hamirpur,No,Yes,Yes,1519.71
Farida Aggarwal,"Barcelona, Spain",Yes,No,Yes,7630.8
Uday Kapoor,"Nairobi, Kenya",No,Yes,Yes,4484.65
Prerna Mehta,Tezpur,No,Yes,Yes,2407.76
Urvashi Naidu,Siliguri,No,No,Yes,2083.95
Raghav Reddy,Unnao,No,No,Yes,1627.01
Omkar Bhatt,"Seoul, South Korea",No,No,Yes,5826.0
Zayan Prasad,"Tel Aviv, Israel",Yes,No,Yes,4600.18
Feroz Nair,"Edinburgh, UK",Yes,No,Yes,8083.0
Tanmay Mehta,Udaipur,Yes,Yes,Yes,1297.03
Bhavesh Shetty,"Córdoba, Argentina",Yes,Yes,Yes,15368.2
Devansh Goswami,"Melbourne, Australia",Yes,Yes,Yes,9201.73
Lalit Mehta,Dhamtari,Yes,Yes,Yes,1115.76
Fardeen Kapoor,Vijayawada,Yes,No,Yes,736.92
Faizan Nair,"Victoria, Canada",No,Yes,Yes,12976.59
Bhavna Thakur,Mussoorie,No,Yes,Yes,1970.64
Naveen Gupta,"Cebu, Philippines",No,No,Yes,5338.59
Madhav Mishra,"Jakarta, Indonesia",No,Yes,Yes,4118.31
Yamini Shetty,"Medellín, Colombia",Yes,Yes,Yes,16131.4
Yamini Shetty,"Rotterdam, Netherlands",No,No,Yes,7543.35
Brijesh Mishra,"Hangzhou, China",Yes,Yes,Yes,5032.51
Yuvraj Chauhan,Ambala,No,Yes,Yes,1944.52
Madhur Deshmukh,"Lisbon, Portugal",Yes,No,Yes,8608.42
Harish Chauhan,Madurai,No,No,Yes,485.42
Pankaj Mishra,Haldia,No,No,Yes,1726.05
Aarushi Shetty,"Milan, Italy",No,Yes,Yes,7102.28
Prerna Mehta,"Quebec City, Canada",No,No,Yes,12579.03
Madhav Mishra,Jorhat,Yes,No,Yes,2534.96
Yasmin Iyer,"Lima, Peru",No,No,Yes,16980.51
Kavita Sharma,Hubli,Yes,No,Yes,271.43
Farah Kapoor,Tehri,Yes,No,Yes,1970.36
Kavita Sharma,"Sydney, Australia",No,Yes,Yes,9580.09
Darshan Desai,Nahan,No,No,Yes,1970.01
Arjun Prasad,Aizawl,Yes,Yes,Yes,2234.48
Manish Iyer,"Canberra, Australia",No,Yes,Yes,9448.21
Zeeshan Shetty,Goa (general),Yes,Yes,Yes,303.36
Yasmin Mishra,"New York City, USA",No,No,Yes,13261.27
Hina Aggarwal,Pulwama,No,No,Yes,2329.88
Damini Sinha,Solan,Yes,Yes,Yes,7675.21
Kamal Jha,Imphal,Yes,No,Yes,2397.98
Jeevan Goswami,Nashik,Yes,Yes,Yes,793.59
Hardik Reddy,"Addis Ababa, Ethiopia",No,No,Yes,3965.97
Kamal Jha,New Delhi,Yes,No,Yes,1758.65
Uttam Verma,Kolhapur,No,Yes,Yes,424.41
Chetanya Nair,Navsari,Yes,Yes,Yes,912.85
Parul Khan,"Bali, Indonesia",No,Yes,Yes,5036.11
Nandini Reddy,"Buenos Aires, Argentina",No,Yes,Yes,14753.89
Eklavya Chauhan,"Incheon, South Korea",No,Yes,Yes,5799.64
Chandan Das,Mandi,No,Yes,Yes,2086.69
Damini Sinha,Tinsukia,No,No,Yes,2674.85
Uma Das,"Christchurch, New Zealand",No,Yes,Yes,11612.59
Oma Nair,"Victoria, Canada",No,Yes,Yes,12976.59
Omkar Prasad,Coimbatore,No,Yes,Yes,312.09
Samar Menon,"Gothenburg, Sweden",No,No,Yes,7203.27
Vidya Iyer,Bhilwara,Yes,No,Yes,1393.12
Oindrila Gupta,"Jeddah, Saudi Arabia",Yes,Yes,Yes,3903.48
Ishan Nair,Dhamtari,No,No,Yes,1115.76
Nirav Das,Haldia,No,No,Yes,1726.05
Prerna Mehta,Indore,Yes,No,Yes,1090.64
Tanvi Mishra,"Montreal, Canada",Yes,Yes,Yes,12803.12
Chandan Aggarwal,"Wellington, New Zealand",Yes,No,Yes,11772.73
Vaishali Yadav,"Denver, USA",No,No,Yes,14175.12
Vandana Rao,Nashik,No,No,Yes,793.59
Ishaan Rao,"Cebu, Philippines",No,Yes,Yes,5338.59
Meera Reddy,"Budapest, Hungary",No,Yes,Yes,6406.03
Meera Reddy,Nizamabad,No,Yes,Yes,725.72
Mona Deshmukh,Eluru,No,No,Yes,793.85
Samar Nair,Dibrugarh,Yes,No,Yes,2636.82
Tara Khan,"Stuttgart, Germany",Yes,Yes,Yes,7160.43
Jaidev Khan,"Dublin, Ireland",Yes,Yes,Yes,8277.42
Kunal Naidu,Banda,Yes,Yes,Yes,1510.53
Nisha Verma,"Hanoi, Vietnam",Yes,No,Yes,3414.49
Esha Jha,Jodhpur,Yes,Yes,Yes,1493.69
Saurabh Naidu,"Brno, Czech Republic",Yes,No,Yes,6640.82
Hardik Reddy,"Johannesburg, South Africa",Yes,Yes,Yes,6663.02
Imran Deshmukh,Meerut,Yes,No,Yes,1806.59
Saurabh Naidu,Raebareli,No,Yes,Yes,1615.24
Vidya Iyer,Haridwar,Yes,Yes,Yes,1915.35
Zohra Das,Kanpur,Yes,Yes,Yes,1604.8
Oma Nair,"Incheon, South Korea",Yes,Yes,Yes,5799.64
Chirag Sinha,"Vienna, Austria",No,No,Yes,6627.98
Girish Menon,Ambala,No,Yes,Yes,1944.52
Geeta Sinha,"Kuala Lumpur, Malaysia",Yes,No,Yes,3146.08
Aditi Prasad,Kakinada,No,Yes,Yes,910.32
Garima Deshmukh,"Rabat, Morocco",Yes,Yes,Yes,8463.44
Farah Kapoor,"Manila, Philippines",No,No,Yes,4983.42
Manish Sharma,Moradabad,Yes,Yes,Yes,1814.51
Vivek Rao,Jaipur,Yes,No,Yes,1553.31
Jeevan Reddy,"Zurich, Switzerland",Yes,Yes,Yes,7182.56
Damini Sinha,"Frankfurt, Germany",Yes,No,Yes,7221.38
Zayan Aggarwal,"Dublin, Ireland",Yes,Yes,Yes,8277.42
Sandeep Prasad,"Osaka, Japan",Yes,Yes,Yes,6528.98
Zeeshan Shetty,"Dubai, UAE",Yes,No,Yes,2464.59
Abhishek Yadav,"Athens, Greece",Yes,Yes,Yes,5751.53
Chandan Aggarwal,"Munich, Germany",No,No,Yes,6973.19
Aakash Goswami,"Hamburg, Germany",No,No,Yes,7207.36
Chitra Kapoor,"Christchurch, New Zealand",Yes,Yes,Yes,11612.59
Nikhil Verma,Alwar,No,Yes,Yes,1615.74
Farah Kapoor,"Durban, South Africa",Yes,No,Yes,6671.54
Zayan Prasad,"Caracas, Venezuela",Yes,No,Yes,15072.33
Aakash Goswami,Bankura,No,No,Yes,1727.24
Zara Nair,Bangalore,Yes,No,Yes,300.3
Jatin Iyer,"Lima, Peru",No,Yes,Yes,16980.51
Oma Nair,"Shenzhen, China",No,Yes,Yes,4278.2
Omkar Khan,"Mombasa, Kenya",No,Yes,Yes,4319.33
Jeevan Reddy,"Phoenix, USA",No,No,Yes,14821.35
Eshan Nair,"Christchurch, New Zealand",Yes,Yes,Yes,11612.59
Pooja Iyer,Ranchi,No,No,Yes,1600.57
Zeeshan Shetty,"Brno, Czech Republic",No,Yes,Yes,6640.82
Siddharth Gupta,Dimapur,Yes,No,Yes,2442.44
Aarohi Sinha,Tirupati,No,No,Yes,501.24
Nirav Das,Pondicherry,No,Yes,Yes,582.85
Vandana Rao,Jorhat,No,Yes,Yes,2534.96
Esha Jha,Banda,Yes,No,Yes,1510.53
Jasmine Goswami,Jaipur,No,No,Yes,1553.31
Zayan Aggarwal,"Halifax, Canada",No,Yes,Yes,12381.99
Umesh Nair,"Rome, Italy",No,No,Yes,6781.0
Lavanya Bhatt,Leh,No,No,Yes,2369.81
Vihan Mishra,"Johannesburg, South Africa",No,Yes,Yes,6663.02
Ritika Naidu,Haridwar,No,Yes,Yes,1915.35
Lalit Rao,Ahmedabad,Yes,Yes,Yes,1144.31
Harini Thakur,"Auckland, New Zealand",Yes,Yes,Yes,11738.38
Chetanya Nair,Kanpur,No,No,Yes,1604.8
Deepak Deshmukh,Panipat,No,Yes,Yes,1837.55
Imran Deshmukh,Kohima,No,Yes,Yes,2460.95
Heena Jha,Jaipur,Yes,Yes,Yes,1553.31
Chandan Das,"Caracas, Venezuela",Yes,No,Yes,15072.33
Kunal Naidu,Shahjahanpur,Yes,Yes,Yes,1736.68
Ananya Menon,Ghazipur,No,Yes,Yes,1672.01
Yuvraj Chauhan,Hardoi,Yes,No,Yes,1687.62
Abhinav Singh,"Rome, Italy",Yes,Yes,Yes,6781.0
Indu Bhatt,Haldia,No,No,Yes,1726.05
Manish Sharma,Tezpur,No,No,Yes,2407.76
Juhi Deshmukh,Silvassa,No,No,Yes,838.04
Yasmin Iyer,Panipat,Yes,No,Yes,1837.55
Eshwar Reddy,Jhunjhunu,No,Yes,Yes,1680.1
Oindrila Gupta,"Dhaka, Bangladesh",No,No,Yes,2031.18
Gitanjali Thakur,"Durban, South Africa",No,No,Yes,6671.54
Tushar Khan,"Toronto, Canada",Yes,Yes,Yes,13219.41
Vihan Sinha,Giridih,No,Yes,Yes,1735.53
Uttam Verma,Panaji,No,Yes,Yes,306.75
Zayan Aggarwal,Port Blair,No,Yes,Yes,1949.91
Devendra Thakur,Banda,Yes,No,Yes,1510.53
Eklavya Aggarwal,Ranchi,No,Yes,Yes,1600.57
Kavita Sharma,Palwal,Yes,No,Yes,1696.34
Falguni Bhatt,"Bologna, Italy",Yes,No,Yes,6918.04
Bhaskar Kapoor,Faizabad,Yes,Yes,Yes,2966.36
Dilip Prasad,"Manila, Philippines",Yes,No,Yes,4983.42
Leela Deshmukh,Dibrugarh,No,Yes,Yes,2636.82
Harish Chauhan,Hong Kong,Yes,Yes,Yes,4288.73
Tanmay Chauhan,Sultanpur,No,No,Yes,1667.03
Deepika Goswami,"Almaty, Kazakhstan",No,Yes,Yes,3366.77
Sandeep Prasad,"Prague, Czech Republic",Yes,No,Yes,6817.29
Eklavya Aggarwal,Bhubaneswar,No,No,Yes,1425.5
Yashwant Iyer,Kathua,Yes,Yes,Yes,2156.48
Aniket Sinha,"Rosario, Argentina",No,No,Yes,15001.25
Dhanush Menon,Shivpuri,Yes,No,Yes,1414.09
Chhavi Nair,Dharamshala,No,No,Yes,2142.63
Faizan Nair,"Jakarta, Indonesia",No,No,Yes,4118.31
Sonia Rao,"Manila, Philippines",Yes,Yes,Yes,4983.42
Deepika Goswami,Porbandar,Yes,Yes,Yes,1114.92
Abhishek Yadav,"Munich, Germany",No,Yes,Yes,6973.19
Oindrila Gupta,Farrukhabad,No,No,Yes,1678.6
Zubin Kapoor,Satna,No,No,Yes,1445.13
Mohan Khan,Noida,No,Yes,Yes,1752.31
Zaina Naidu,Jamshedpur,Yes,No,Yes,1624.45
Chitra Kapoor,"Austin, USA",No,Yes,Yes,15160.97
Ekta Thakur,Dhamtari,No,No,Yes,1115.76
Aniket Sinha,Bharatpur,Yes,No,Yes,1582.68
Brijesh Mishra,Silchar,Yes,Yes,Yes,2299.91
Kavita Bhatt,"Miami, USA",No,No,Yes,14950.04
Imran Deshmukh,"Rabat, Morocco",No,No,Yes,8463.44
Pratap Mehta,"Halifax, Canada",Yes,Yes,Yes,12381.99
Zaina Naidu,Tiruchirappalli,Yes,No,Yes,478.16
Kajal Jha,"Colombo, Sri Lanka",Yes,Yes,Yes,858.45
Zoravar Naidu,"Abu Dhabi, UAE",No,No,Yes,2504.4
Abhishek Yadav,"Edmonton, Canada",Yes,Yes,Yes,12597.73
Zohra Das,"Milan, Italy",No,No,Yes,7102.28
Imran Deshmukh,"Canberra, Australia",Yes,No,Yes,9448.21
Brijesh Mishra,"Frankfurt, Germany",Yes,No,Yes,7221.38
Kajal Jha,"Detroit, USA",Yes,Yes,Yes,13485.93
Ritika Naidu,Haridwar,Yes,Yes,Yes,1915.35
Eshan Nair,Neemuch,Yes,No,Yes,1297.38
Trisha Iyer,"Atlanta, USA",Yes,No,Yes,14395.12
Pranav Shetty,"Auckland, New Zealand",No,No,Yes,11738.38
Arjun Prasad,"Buenos Aires, Argentina",Yes,No,Yes,14753.89
Imran Deshmukh,"Chicago, USA",Yes,No,Yes,13679.48
Vidya Prasad,Sehore,Yes,Yes,Yes,1152.99
Ishan Nair,Shillong,No,Yes,Yes,2269.09
Manish Sharma,Navsari,Yes,No,Yes,912.85
Omkar Bhatt,"Phoenix, USA",Yes,Yes,Yes,14821.35
Govind Sinha,Haldia,Yes,Yes,Yes,1726.05
Tushar Khan,Shimla,Yes,No,Yes,2028.27
Prakash Rao,Dumka,Yes,No,Yes,1811.65
Farah Kapoor,Goa (general),Yes,Yes,Yes,303.36
Gaurav Verma,"Bali, Indonesia",Yes,Yes,Yes,5036.11
Kajal Jha,"Krakow, Poland",Yes,No,Yes,6441.84
Imran Deshmukh,"Johannesburg, South Africa",Yes,No,Yes,6663.02
Abhishek Yadav,"Santiago, Chile",Yes,No,Yes,15855.3
Tanvi Mishra,"Geneva, Switzerland",Yes,Yes,Yes,7347.1
Yash Das,Mumbai,No,No,Yes,712.01
Heena Jha,Saharanpur,No,Yes,Yes,1909.93
Nitin Reddy,"Stockholm, Sweden",No,No,Yes,6928.45
Chirag Sinha,"Kuala Lumpur, Malaysia",No,Yes,Yes,3146.08
Zara Nair,"Valencia, Spain",No,Yes,Yes,7846.86
Anirudh Chauhan,"Shanghai, China",No,Yes,Yes,5174.01
Anirudh Chauhan,Jhansi,No,No,Yes,1452.18
Chirag Mehta,"Santiago, Chile",No,No,Yes,15855.3
Nirav Das,Bhavnagar,No,No,Yes,1021.8
